,,,,,
Input,Match type,Approved symbol,Approved name,HGNC ID,Location
MTARC1,Approved symbol,MTARC1,mitochondrial amidoxime reducing component 1,HGNC:26189,1q41
MARCHF2,Approved symbol,MARCHF2,membrane associated ring-CH-type finger 2,HGNC:28038,19p13.2
March4,Previous symbol,MARCHF4,membrane associated ring-CH-type finger 4,HGNC:29269,2q35
March7,Previous symbol,MARCHF7,membrane associated ring-CH-type finger 7,HGNC:17393,2q24.2
SEPT3,Previous symbol,SEPTIN3,septin 3,HGNC:10750,22q13.2
A1BG,Approved symbol,A1BG,alpha-1-B glycoprotein,HGNC:5,19q13.43
A2M,Approved symbol,A2M,alpha-2-macroglobulin,HGNC:7,12p13.31
A2ML1,Approved symbol,A2ML1,alpha-2-macroglobulin like 1,HGNC:23336,12p13.31
A3GALT2,Approved symbol,A3GALT2,"alpha 1,3-galactosyltransferase 2",HGNC:30005,1p35.1
AADACL3,Approved symbol,AADACL3,arylacetamide deacetylase like 3,HGNC:32037,1p36.21
AADAT,Approved symbol,AADAT,aminoadipate aminotransferase,HGNC:17929,4q33
AAK1,Approved symbol,AAK1,AP2 associated kinase 1,HGNC:19679,2p13.3
AARD,Approved symbol,AARD,alanine and arginine rich domain containing protein,HGNC:33842,8q24.11
AATK,Approved symbol,AATK,apoptosis associated tyrosine kinase,HGNC:21,17q25.3
ABCA10,Approved symbol,ABCA10,ATP binding cassette subfamily A member 10,HGNC:30,17q24.3
ABCA12,Approved symbol,ABCA12,ATP binding cassette subfamily A member 12,HGNC:14637,2q35
ABCA13,Approved symbol,ABCA13,ATP binding cassette subfamily A member 13,HGNC:14638,7p12.3
ABCA2,Approved symbol,ABCA2,ATP binding cassette subfamily A member 2,HGNC:32,9q34.3
ABCA4,Approved symbol,ABCA4,ATP binding cassette subfamily A member 4,HGNC:34,1p22.1
ABCA6,Approved symbol,ABCA6,ATP binding cassette subfamily A member 6,HGNC:36,17q24.2-q24.3
ABCB1,Approved symbol,ABCB1,ATP binding cassette subfamily B member 1,HGNC:40,7q21.12
ABCB10,Approved symbol,ABCB10,ATP binding cassette subfamily B member 10,HGNC:41,1q42.13
ABCB5,Approved symbol,ABCB5,ATP binding cassette subfamily B member 5,HGNC:46,7p21.1
ABCB7,Approved symbol,ABCB7,ATP binding cassette subfamily B member 7,HGNC:48,Xq13.3
ABCB8,Approved symbol,ABCB8,ATP binding cassette subfamily B member 8,HGNC:49,7q36.1
ABCB9,Approved symbol,ABCB9,ATP binding cassette subfamily B member 9,HGNC:50,12q24.31
ABCC11,Approved symbol,ABCC11,ATP binding cassette subfamily C member 11,HGNC:14639,16q12.1
ABCC12,Approved symbol,ABCC12,ATP binding cassette subfamily C member 12,HGNC:14640,16q12.1
ABCC2,Approved symbol,ABCC2,ATP binding cassette subfamily C member 2,HGNC:53,10q24.2
ABCC3,Approved symbol,ABCC3,ATP binding cassette subfamily C member 3,HGNC:54,17q21.33
ABCC5,Approved symbol,ABCC5,ATP binding cassette subfamily C member 5,HGNC:56,3q27.1
ABCC6,Approved symbol,ABCC6,ATP binding cassette subfamily C member 6,HGNC:57,16p13.11
ABCC8,Approved symbol,ABCC8,ATP binding cassette subfamily C member 8,HGNC:59,11p15.1
